uno_pc_time_sec,uno_edge_us,mega_evt_pc_time_sec,mega_evt_us,tag,value,dropped_reported
1778961545.503518,622612924,1778961541.930514,620359588,CUE1,4000,0
1778961545.688823,622822752,1778961541.938042,620360444,CUE2,4000,0
1778961546.559218,623684080,1778961541.938042,620361296,CORRECT_TURN,Left,0
1778961561.535173,638630712,1778961542.474311,620896448,SENSOR,Wait Sensor,0
1778961566.406364,643464568,1778961543.884724,622304468,SENSOR,Wait Sensor,0
1778961566.406364,643465452,1778961544.258850,622680188,SENSOR,Wait Sensor,0
1778961566.406364,643466348,1778961544.537789,622966964,SENSOR,Wait Sensor,0
1778961566.406364,643467256,1778961545.281193,623703184,SENSOR,Wait Sensor,0
1778961567.026271,644108096,1778961545.472214,623902796,SENSOR_FAST,Gate,0
1778961568.274406,645347012,1778961545.688823,624112820,SENSOR,WM2,0
1778961568.712529,645785912,1778961546.545442,624974952,SENSOR,Lick Left,0
1778961569.461254,646518388,1778961557.342020,635752568,SENSOR,Left Back,0
1778961569.958668,647039084,1778961560.587432,638993600,SENSOR,Left Front,0
1778961570.206490,647268292,1778961561.519747,639935572,SENSOR,Return Left,0
1778961571.387928,648475492,1778961566.359203,644773948,SENSOR,WM1,0
1778961581.482378,658567852,1778961566.359203,644774832,CUE1,13000,0
1778961582.164458,659256360,1778961566.359203,644775732,CUE2,13000,0
1778961582.600403,659673752,1778961566.361225,644776640,CORRECT_TURN,Right,0
1778961585.089385,662161752,1778961566.994928,645418080,SENSOR,Wait Sensor,0
1778961589.703147,666732732,1778961568.242680,646658152,SENSOR,Wait Sensor,0
1778961589.703147,666733640,1778961568.681982,647097468,SENSOR,Wait Sensor,0
1778961589.703147,666734528,1778961569.413435,647830624,SENSOR,Wait Sensor,0
1778961589.703147,666735432,1778961569.934480,648351808,SENSOR_FAST,Gate,0
1778961590.143214,667198276,1778961570.162257,648581232,SENSOR,WM2,0
1778961591.697380,668727640,1778961571.379506,649789560,SENSOR,Lick Right,0
1778961593.191396,670263168,1778961581.483376,659891360,SENSOR,Right Back,0
1778961593.439372,670476168,1778961582.164458,660580512,SENSOR,Right Front,0
1778961594.311451,671383480,1778961582.585301,660998296,SENSOR,Return Right,0
